string	citation	standard_citation	citation_id
@doi:10.1038/550143a	doi:10.1038/550143a	doi:10.1038/550143a	18w6XKsQO
@doi:10.1038/d41586-017-08493-x	doi:10.1038/d41586-017-08493-x	doi:10.1038/d41586-017-08493-x	9IrsqXRa
@doi:10.1038/nbt.3780	doi:10.1038/nbt.3780	doi:10.1038/nbt.3780	Qh7xTLwz
@doi:10.1101/142760	doi:10.1101/142760	doi:10.1101/142760	tJKvnIaZ
@tag:steemit-post	url:https://goo.gl/jAcwjm	url:https://goo.gl/jAcwjm	yte07Fnn
